145,以,平,姨彞彝寅夷峓恞珆蔩痍荑桋蛦胰鮧羠羡羡鏔鴺跠洟
146,生,平,师鰤蒒筛狮蛳
147,并,平,毗比琵芘沘貔豼膍肶蚍枇仳魮鈚阰鵧
148,精,平,咨资粢咨姿齍澬赍
149,见,平,饥机肌虮
150,昌,平,鸱鵄胵
151,彻,平,絺郗脪瓻訵
152,清,平,郪趑趀  蠀
153,从,平,茨薋荠糍垐瓷澬
154,娘,平,尼柅怩蚭跜呢
155,澄,平,墀坻泜迟遟蚳岻荎菭謘莉貾
156,心,平,私鋖厶
157,书,平,尸鸤尸蓍
158,群,平,鬐耆愭祁鳍鮨
159,影,平,伊咿蛜黝黟
160,来,平,棃梨蜊藜犁犁刕鯬鑗蟍
161,群,平,葵鄈楑
162,知,平,追
163,见,平,龟螝騩
164,日,平,蕤甤緌 桵
165,生,平,衰榱
166,以,平,惟维遗潍壝蓶琟唯
167,来,平,累缧虆欙樏嫘瓃鸓儽傫纝缧
168,心,平,绥虽荾荽芕葰浽奞夊睢濉
169,群,平,逵夔馗戣鍨騤躨艽頯頄
170,明,平,眉睂嵋湄鹛楣瑂矀覹霉麋蘪郿薇葿
171,帮,平,悲
172,章,平,锥隹骓萑鵻
173,常,平,谁脽
174,云,平,帷
175,并,平,邳鉟岯魾
176,滂,平,丕伾秠駓豾髬魾鉟
177,晓,平,倠婎睢眭 
178,澄,平,锤椎槌顀
179,昌,平,推蓷
180,知,平,胝疷秪氐
181,滂,平,纰悂
182,精,平,嶉檇
183,溪,平,岿蘬
184,疑,平,狋
185,晓,平,咦忾屎
186,章,平,之臸芝ㄓ
187,以,平,饴 怡弬媐异鏔圯贻巸颐诒沶宧姬台眙瓵
188,常,平,时旹埘鼭榯莳鲥
189,疑,平,疑嶷觺
190,心,平,思恖司罳伺丝缌禗覗蕬偲楒
191,初,平,輺辎飔
192,群,平,其期旗綦綨帺萁蜝蜞琪麒骐淇錤藄棊棋櫀碁璂鲯蕲祺禥踑
193,书,平,诗邿齝呞
194,日,平,而栭檽隭 陾 陑髵峏轜輀臑胹洏鲕耏咡誀鸸
195,溪,平,欺娸魌僛  抾
196,见,平,姬期稘基箕萁諅其錤居諆
197,邪,平,词祠柌辞辤辝
198,来,平,厘狸狸牦嫠剺梩牦倈艃孷筣斄
199,庄,平,葘菑甾 湽淄  茬茌輺辎鍿锱鶅缁椔鲻
200,晓,平,僖歖熙嬉禧媐嘻瞦熹嘻娭诶
201,影,平,医医譩噫
202,彻,平,痴齝笞痴
203,澄,平,治持莉
204,昌,平,蚩嗤妛媸
205,从,平,慈礠磁鹚濨兹
206,精,平,兹孳嵫孜滋嗞镃孖鼒鰦仔鹚稵
207,崇,平,茬茌
208,俟,平,漦
209,溪,平,抾
210,书,平,
211,明,平,微溦薇癓
212,晓,平,挥辉辉晖徽翚袆楎幑瀈
213,云,平,帏韦闱围违湋囗鍏涠婔  
214,滂,平,霏妃菲婓騑裶
215,帮,平,猆飞扉绯非馡騛騑诽餥
216,并,平,肥腓淝痱蜰蟦贲裴
217,影,平,威葳隇蝛鰄媁楲
218,群,平,祈颀旗畿崎碕圻刏俟几蚚玂虮岓
219,见,平,机讥蕲叽矶鞿饥禨几鐖僟玑刏
220,晓,平,希晞莃鵗睎稀豨桸悕俙欷
221,影,平,依郼衣譩
222,疑,平,沂凒
223,疑,平,巍犩
224,见,平,归騩
225,溪,平,蘬
226,疑,平,鱼渔䱷龉铻衙
227,初,平,初
228,书,平,书鵨瑹舒纾
229,见,平,居据裾琚鶋车蜛崌椐涺腒
230,群,平,渠璩磲蕖籧淭醵腒螶蟝豦蘧鐻璖懅
231,以,平,余蜍藇余舆旟鵌玙艅畲欤与誉嬩舁举妤伃予狳鸒雓
232,心,平,胥稰楈藇谞湑蝑揟
233,清,平,疽岨砠趄苴沮狙蛆雎蒩伹坥
234,崇,平,鉏锄锄豠
235,彻,平,摅筡摴
236,生,平,疏梳綀蔬踈疎酾 疋
237,晓,平,虚驉歔嘘嘘魖
238,邪,平,徐俆
239,影,平,于扵箊淤唹
240,知,平,猪猪潴潴橥橥藸蕏
241,来,平,胪闾庐芦榈驴藘爈櫖
242,章,平,诸槠薯蠩
243,澄,平,除躇储涂篨宁着滁蒢屠藸蕏
244,日,平,如蕠洳鴽  茹
245,精,平,且蛆苴沮
246,溪,平,虚墟袪阹椐胠魼
247,庄,平,菹 沮
248,常,平,蜍
249,娘,平,袽帤蒘拿
250,疑,平,虞愚娱湡堣嵎髃禺隅鰅鍝澞齵鸆
251,初,平,刍犓
252,明,平,无毋瞴膴芜诬巫莁璑鷡蝥无譕墲鵐怃
253,云,平,于迂盂邘雩竽玗芋污杅釪骬謣
254,晓,平,訏吁雩欨盱姁扜荂旴虖
255,群,平,衢劬軥氍朐 臞癯鸲鸜灈躣忂鼩蘧斪句蠷瞿欋葋翵翑蚼 胊 絇  戵鑺姁
256,日,平,儒獳濡襦懦嚅鱬嬬繻顬臑醹
257,心,平,须须嬃繻需娶緰蕦鑐隃
258,知,平,株诛邾鼄蛛跦袾列鴸
259,彻,平,貙
260,常,平,殊铢洙茱殳陎 杸
261,以,平,逾逾窬臾楰腴谀隃鄃觎俞歈愉揄褕瑜崳羭蝓榆茰萸堬牏渝媮愈螸蕍萮蘛舀騟
262,溪,平,区鰸驱驱岖躯抠
263,章,平,朱珠侏絑秼咮鴸鮢朱
264,清,平,趋趍鲰
265,来,平,慺蒌氀瞜嵝搂鷜镂娄瘘膢
266,并,平,扶 芙符颫凫榑苻蚨夫枹瓿枎坿泭  玸
267,崇,平,雏鶵媰
268,庄,平,搊
269,滂,平,敷麸麱孚郛鄜铺筟俘痡殍怤孵豧尃罦稃莩泭郙桴姇荂紨秿
270,精,平,诹娵陬嗺掫
271,帮,平,跗趺肤肤邞鈇衭玞簠夫鳺柎扶妋
272,影,平,纡陓扜蓲迂虶
273,书,平,输鄃隃
274,昌,平,枢姝袾
275,澄,平,厨厨蹰蹰趎幮裯
276,见,平,拘驹眗岣捄跔鮈俱痀
277,生,平,毹橾螋
278,明,平,模橅摸嫫谟墲无膜
279,并,平,酺匍蜅荹朴菩蒲蒱
280,匣,平,胡壶狐瓳糊瑚湖鹕猢醐糊弧乎瓠葫魱箶虖
281,见,平,孤苽菰胍姑辜呱泒酤觚蛄箛鸪橭沽柧盬嫴罛軱箍
282,定,平,徒屠瘏涂途酴駼鵌涂梌 荼图啚廜菟捈嵞峹镀鷵筡
283,泥,平,奴砮驽帑孥笯
284,晓,平,呼嘑虖歑戏謼膴幠葫恗軤虍苸雐滹
285,疑,平,吾鼯吴吴浯珸蜈郚龉鯃娪鋘梧峿麌祦
286,精,平,租蒩
287,来,平,卢炉垆籚芦颅髗鲈攎栌轳黸獹鸬舻纑泸瓐炉玈嚧矑罏蠦
288,心,平,苏稣酥
289,从,平,徂殂
290,影,平,乌呜洿污污杇圬釫鰞歍钨弙于瑦邬螐恶扝鴮
291,帮,平,逋餔晡庯陠鵏峬誧秿鯆抪
292,溪,平,枯刳扝郀轱跍挎弙橭鮬
293,清,平,粗麁粗
294,透,平,稌悇嶀庩梌捈
295,端,平,都闍醏
296,滂,平,铺鯆痡誧陠墲
297,从,平,齐脐麡蛴懠癠
298,来,平,黎犁犁莉黧藜鯬盠邌廲藜筣骊瓈謧
299,清,平,妻萋凄凄凄鶈郪緀齌霋
300,端,平,低氐袛磾鞮腣羝眡堤堤岻奃趆鍉柢揥
301,定,平,嗁啼蹏蹄提诋瑅堤桋题媞绨罤漽缔蕛稊 醍褆鹈荑禔崹缇鷤鼶騠折銕徲謕厗鶗鶙蝭鴺锑鮷趧鮧鯷睼
302,帮,平,豍螕蓖篦梐狴箄鎞悂
303,见,平,鸡鸡稽枅笄卟乩  鑙
304,匣,平,奚豯徯蹊螇榽騱胿郋傒嵆嵇兮鼷蒵貕
305,影,平,鹥翳嫛黳黟繄
306,疑,平,倪霓霓郳齯婗輗棿猊麑貎鲵儿觬
307,晓,平,醯 橀忚
308,心,平,西卤卥 栖栖犀嘶撕屖粞
309,透,平,梯睇鷈謕
310,并,平,鼙鞞椑膍崥笓
311,滂,平,磇錍批鈚
312,精,平,赍賷 齑虀櫅挤齌跻隮麡啙
313,明,平,迷麛 
314,泥,平,泥埿屔臡
315,溪,平,溪嵠溪磎鸂檕螇
316,见,平,圭珪邽闺袿窐鲑洼 胿茥
317,溪,平,睽奎湀刲茥聧鲑蝰楏藈
318,匣,平,携携蠵鑴窐畦驨雟酅纗讗黊眭觿
319,日,平,臡
320,常,平,栘
321,影,平,烓
322,晓,平,睳
323,见,平,佳街
324,匣,平,慀鲑膎鞵鞋榽
325,并,平,牌箄簰郫蠯棑犤
326,见,平,娲緺諣脶蜗騧歄
327,影,平,蛙鼃
328,溪,平,咼喎絓
329,崇,平,柴祡茈查查
330,初,平,钗靫叉芆差
331,晓,平,竵喎
332,娘,平,掜誽
333,疑,平,崖涯啀猚崖
334,影,平,娃洼哇 唲
335,生,平,崽籭諰
336,晓,平,
337,彻,平,叉
338,明,平,
339,匣,平,鼃
340,见,平,皆偕秸喈阶薢荄痎堦楷鶛湝街蝔锴
341,影,平,
342,匣,平,谐骸瑎湝龤谐蝔鞋
343,并,平,排俳輫牌狎
344,见,平,乖
345,匣,平,怀褱櫰槐淮褢瀤
346,溪,平,汇擓
347,崇,平,豺侪麡
348,初,平,差
349,晓,平,虺
350,澄,平,尵
351,明,平,埋薶霾
352,庄,平,斋
353,影,平,崴碨溾
354,知,平,榸
355,来,平,唻
356,溪,平,揩
357,娘,平,摨
358,生,平,崽簁
359,疑,平,娾
360,彻,平,搋
361,晓,平,
362,来,平,
363,崇,平,膗
364,晓,平,灰鼿豗虺
365,溪,平,恢诙悝魁 顝盔
366,影,平,隈煨渨椳偎揋葨鰃
367,匣,平,回洄回槐徊瑰蛔蛕佪烠茴
368,明,平,枚梅媒玫煤脢脄腜禖莓塺鋂
369,见,平,傀瑰瓌鞼櫰膭藱
370,来,平,雷儡瓃櫑罍鑘镭 畾轠
371,定,平,穨颓隤墤魋尵蘈蹪
372,清,平,崔催缞衰
373,端,平,磓塠頧堆鴭 锤捶嵟敦
374,心,平,挪毸嗺蓑
375,从,平,摧崔慛槯檇
376,并,平,裴徘培陪婄棓毰輫
377,帮,平,杯杯杯
378,滂,平,肧胚坯醅衃抔
379,疑,平,鮠桅嵬硙峞
380,透,平,蓷推藬
381,泥,平,捼
382,精,平,嗺脧
383,晓,平,咍 
384,溪,平,开咳 侅奒
385,影,平,哀埃唉欸毐
386,定,平,台抬菭 ??苔炱嬯薹儓台骀籉跆
387,见,平,该豥垓荄郂剀陔姟絯晐峐祴侅赅胲
388,从,平,裁才财才材 渽 鼒
389,来,平,来莱郲騋崃斄琜猍涞鯠鶆庲棶牦逨麳徕
390,精,平,烖灾灾栽哉葘 渽睵
391,清,平,猜偲睵
392,并,平,
393,透,平,胎孡鲐台邰
394,匣,平,孩咳颏豥
395,心,平,鳃揌粞顋腮愢毢
396,疑,平,皑嵦敳隑剀呆
397,泥,平,能
398,端,平,懛
399,昌,平,
400,滂,平,
401,章,平,眞真甄振禛稹磌畛籈侲桭蒖唇帪薽
402,彻,平,胂缜
403,影,平,因茵鞇禋闉骃湮烟氤絪垔陻堙洇姻婣諲茵歅
404,心,平,新辛薪
405,常,平,辰晨  敐宸鷐麎桭茞屒臣
406,日,平,仁朲人
407,船,平,神晨
408,清,平,亲寴
409,云,平,礥
410,书,平,申伸绅娠呻眒胂身柛訷
411,帮,平,賔宾濵滨槟顮傧镔矉
412,来,平,粦燐邻辚嶙粼磷疄麟麐鳞璘駗翷瞵獜驎壣鏻繗潾
413,群,平,堇墐魿
414,知,平,珍鎭塡
415,澄,平,陈趁尘
416,精,平,津琎濜
417,昌,平,瞋嗔謓缜
418,从,平,秦螓
419,以,平,寅夤蔩螾
420,娘,平,纫
421,滂,平,缤
422,并,平,频苹薲嫔玭蠙獱颦嚬
423,疑,平,银狺檭鄞圁誾訔嚚珢垠泿
424,见,平,巾
425,见,平,麏麇麕頵莙汮
426,云,平,筠囩縜荺
427,溪,平,囷箘箟輑蜠峮壸
428,明,平,珉岷罠闽缗笢旻旼痻闅汶抿忞盿鍲鴖鈱
429,并,平,贫
430,影,平,鼘骃
431,影,平,赟奫頵蝹
432,帮,平,彬斌份玢豳邠汃霦攽虨砏
433,明,平,民闅泯怋
434,章,平,谆惇肫訰
435,彻,平,椿楯輴鶞杶櫄瑃
436,澄,平,
437,心,平,荀郇询眴峋珣栒洵恂畇檈槆姰
438,常,平,纯莼蒓醇鹑享陙錞淳焞
439,日,平,犉瞤眴
440,船,平,唇漘紃
441,来,平,沦伦论轮陯鯩蜦棆纶惀仑踚抡
442,知,平,屯窀迍
443,清,平,逡竣皴墫捘竴踆夋
444,精,平,遵跧僎嶟鷷
445,昌,平,春
446,从,平,鷷
447,以,平,匀匀畇
448,邪,平,旬巡驯循揗紃洵楯灥畇
449,见,平,均钧袀汮
450,群,平,
451,滂,平,砏虨
452,庄,平,臻蓁搸溱潧榛樼瀙澵轃
453,生,平,莘扟駪籸甡兟诜侁屾燊阠姺
454,崇,平,帘
455,明,平,文闻彣纹雯馼蟁蚊螡鳼闅汶闽
456,云,平,云芸芸耘郧妘纭涢沄云筼貟员愪沄耺橒
457,影,平,煴氲緼馧蒀蕴蝹
458,并,平,汾坟氛鼖濆焚燌羒豮颁羵枌鳻蕡萉 橨棼贲葐魵妢棻梤肦鐼馩馚鼢蚡轒
459,帮,平,分饙餴扮
460,群,平,群群帬裠裙宭
461,晓,平,薰曛勲勋勋熏熏獯纁醺荤焄臐
462,见,平,君军皲桾莙宭鮶
463,滂,平,芬纷帉衯棻砏氛氛 錀
464,晓,平,欣忻昕欣炘邤
465,影,平,殷殷濦溵
466,群,平,勤芹勤慬懄瘽矜蕲
467,见,平,斤筋釿
468,疑,平,圻垠齗龈斦狺鄞
